thresh,video,frame,x,y,w,h,class
0.200000,videoplayback_001_1.webm,65,414,140,21,28,signalAhead
0.200000,videoplayback_001_1.webm,65,403,144,21,25,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,66,413,141,21,28,merge
0.200000,videoplayback_001_1.webm,66,405,144,20,24,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,67,413,143,20,27,signalAhead
0.200000,videoplayback_001_1.webm,68,413,142,21,29,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,69,418,140,18,28,merge
0.200000,videoplayback_001_1.webm,69,414,144,16,23,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,70,417,140,19,26,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,71,417,138,21,27,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,72,419,138,20,27,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,73,420,136,23,29,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,74,426,136,21,28,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,75,430,135,22,29,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,76,434,135,22,30,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,77,436,134,21,29,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,78,440,133,21,29,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,79,443,131,23,31,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,80,447,130,21,30,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,80,447,139,14,22,slow
0.200000,videoplayback_001_1.webm,81,451,130,21,31,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,81,451,141,13,22,slow
0.200000,videoplayback_001_1.webm,82,452,119,24,35,merge
0.200000,videoplayback_001_1.webm,82,460,135,19,27,pedestrianCrossing
0.200000,videoplayback_001_1.webm,83,456,119,23,34,merge
0.200000,videoplayback_001_1.webm,83,450,117,18,30,signalAhead
0.200000,videoplayback_001_1.webm,84,459,119,25,35,merge
0.200000,videoplayback_001_1.webm,84,455,117,20,31,signalAhead
0.200000,videoplayback_001_1.webm,85,463,118,25,35,merge
0.200000,videoplayback_001_1.webm,85,459,116,20,31,signalAhead
0.200000,videoplayback_001_1.webm,86,469,115,23,33,merge
0.200000,videoplayback_001_1.webm,86,464,114,17,28,signalAhead
0.200000,videoplayback_001_1.webm,87,472,112,22,34,signalAhead
0.200000,videoplayback_001_1.webm,88,476,112,24,36,merge
0.200000,videoplayback_001_1.webm,88,470,110,19,31,signalAhead
0.200000,videoplayback_001_1.webm,89,483,110,23,36,merge
0.200000,videoplayback_001_1.webm,90,487,107,27,39,merge
0.200000,videoplayback_001_1.webm,90,478,106,21,32,signalAhead
0.200000,videoplayback_001_1.webm,91,488,108,23,32,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,93,253,178,11,16,pedestrianCrossing
0.200000,videoplayback_001_1.webm,94,515,102,17,26,school
0.200000,videoplayback_001_1.webm,94,516,96,27,41,merge
0.200000,videoplayback_001_1.webm,96,253,180,12,15,stop
0.200000,videoplayback_001_1.webm,97,255,181,11,15,signalAhead
0.200000,videoplayback_001_1.webm,98,255,180,12,17,signalAhead
0.200000,videoplayback_001_1.webm,99,254,179,12,17,school
0.200000,videoplayback_001_1.webm,100,253,179,13,17,stop
0.200000,videoplayback_001_1.webm,101,251,179,14,18,stop
0.200000,videoplayback_001_1.webm,102,249,178,14,18,pedestrianCrossing
0.200000,videoplayback_001_1.webm,103,234,177,11,14,yieldAhead
0.200000,videoplayback_001_1.webm,103,246,177,16,18,pedestrianCrossing
0.200000,videoplayback_001_1.webm,104,232,176,12,14,merge
0.200000,videoplayback_001_1.webm,104,242,177,17,18,pedestrianCrossing
0.200000,videoplayback_001_1.webm,105,229,176,14,13,merge
0.200000,videoplayback_001_1.webm,105,239,176,19,18,signalAhead
0.200000,videoplayback_001_1.webm,105,690,171,13,23,rampSpeedAdvisoryUrdbl
0.200000,videoplayback_001_1.webm,106,227,176,14,13,merge
0.200000,videoplayback_001_1.webm,106,236,176,20,18,stopAhead
0.200000,videoplayback_001_1.webm,107,227,177,11,13,merge
0.200000,videoplayback_001_1.webm,107,237,177,17,18,stop
0.200000,videoplayback_001_1.webm,108,226,176,11,14,merge
0.200000,videoplayback_001_1.webm,108,238,176,14,18,signalAhead
0.200000,videoplayback_001_1.webm,109,225,177,10,13,merge
0.200000,videoplayback_001_1.webm,109,237,177,14,18,signalAhead
0.200000,videoplayback_001_1.webm,110,225,177,10,13,pedestrianCrossing
0.200000,videoplayback_001_1.webm,110,238,177,14,18,signalAhead
0.200000,videoplayback_001_1.webm,111,240,176,13,19,yieldAhead
0.200000,videoplayback_001_1.webm,112,238,177,12,19,signalAhead
0.200000,videoplayback_001_1.webm,113,222,175,10,15,keepRight
0.200000,videoplayback_001_1.webm,113,234,175,13,20,signalAhead
0.200000,videoplayback_001_1.webm,114,219,174,10,14,yieldAhead
0.200000,videoplayback_001_1.webm,114,230,174,14,19,signalAhead
0.200000,videoplayback_001_1.webm,115,217,173,11,15,merge
0.200000,videoplayback_001_1.webm,115,227,172,14,20,signalAhead
0.200000,videoplayback_001_1.webm,116,215,173,12,14,merge
0.200000,videoplayback_001_1.webm,116,225,173,14,18,signalAhead
0.200000,videoplayback_001_1.webm,117,212,171,12,15,merge
0.200000,videoplayback_001_1.webm,117,222,171,14,19,signalAhead
0.200000,videoplayback_001_1.webm,118,210,170,12,16,merge
0.200000,videoplayback_001_1.webm,118,220,169,14,20,signalAhead
0.200000,videoplayback_001_1.webm,119,206,168,14,16,signalAhead
0.200000,videoplayback_001_1.webm,119,216,168,16,20,signalAhead
0.200000,videoplayback_001_1.webm,120,201,165,15,17,merge
0.200000,videoplayback_001_1.webm,120,213,166,17,21,signalAhead
0.200000,videoplayback_001_1.webm,121,198,164,16,19,merge
0.200000,videoplayback_001_1.webm,121,212,164,19,22,turnRight
0.200000,videoplayback_001_1.webm,122,183,156,20,26,signalAhead
0.200000,videoplayback_001_1.webm,122,196,158,18,22,merge
0.200000,videoplayback_001_1.webm,123,184,155,21,28,slow
0.200000,videoplayback_001_1.webm,123,195,157,18,23,merge
0.200000,videoplayback_001_1.webm,124,183,152,22,31,addedLane
0.200000,videoplayback_001_1.webm,124,192,155,18,25,merge
0.200000,videoplayback_001_1.webm,125,178,152,25,30,addedLane
0.200000,videoplayback_001_1.webm,125,187,154,20,25,merge
0.200000,videoplayback_001_1.webm,126,176,150,25,31,addedLane
0.200000,videoplayback_001_1.webm,126,184,153,20,25,merge
0.200000,videoplayback_001_1.webm,127,180,151,21,27,merge
0.200000,videoplayback_001_1.webm,128,179,152,21,25,merge
0.200000,videoplayback_001_1.webm,129,174,151,20,27,merge
0.200000,videoplayback_001_1.webm,130,171,150,22,27,merge
0.200000,videoplayback_001_1.webm,131,168,150,23,26,merge
0.200000,videoplayback_001_1.webm,132,162,149,25,27,addedLane
0.200000,videoplayback_001_1.webm,133,159,148,22,28,merge
0.200000,videoplayback_001_1.webm,134,156,149,21,25,pedestrianCrossing
0.200000,videoplayback_001_1.webm,134,310,178,13,16,school
0.200000,videoplayback_001_1.webm,135,151,149,20,26,pedestrianCrossing
0.200000,videoplayback_001_1.webm,136,144,148,23,27,pedestrianCrossing
0.200000,videoplayback_001_1.webm,137,137,148,22,25,addedLane
0.200000,videoplayback_001_1.webm,137,310,179,13,17,school
0.200000,videoplayback_001_1.webm,137,317,181,12,17,speedLimit35
