video,frame,oldclass,signname,newclass
videoplayback_002_2.webm,34,rightLaneMustTurn,Camel,pedestrianCrossing
videoplayback_002_2.webm,35,stop,Camel,slow
videoplayback_002_2.webm,36,stop,Camel,pedestrianCrossing
videoplayback_002_2.webm,37,stop,Camel,slow
videoplayback_002_2.webm,39,stop,Camel,pedestrianCrossing
videoplayback_002_2.webm,40,noRightTurn,Camel,pedestrianCrossing
videoplayback_002_2.webm,41,rightLaneMustTurn,Camel,slow
videoplayback_002_2.webm,42,stop,Camel,slow
videoplayback_002_2.webm,44,noLeftTurn,Camel,pedestrianCrossing
videoplayback_002_2.webm,44,stop,Camel,slow
videoplayback_002_2.webm,70,signalAhead,Camel,pedestrianCrossing
videoplayback_002_2.webm,71,signalAhead,Camel,pedestrianCrossing
videoplayback_002_2.webm,72,signalAhead,Camel,pedestrianCrossing
videoplayback_002_2.webm,73,signalAhead,Camel,pedestrianCrossing
videoplayback_002_2.webm,74,signalAhead,Camel,slow
videoplayback_002_2.webm,75,signalAhead,Camel,slow
videoplayback_002_2.webm,76,signalAhead,Camel,slow
videoplayback_002_2.webm,77,signalAhead,Camel,slow
videoplayback_002_2.webm,78,signalAhead,Camel,slow
videoplayback_002_2.webm,79,signalAhead,Camel,slow
videoplayback_002_2.webm,80,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,81,signalAhead,Camel,slow
videoplayback_002_2.webm,82,signalAhead,Camel,slow
videoplayback_002_2.webm,83,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,84,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,85,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,86,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,87,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,88,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,89,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,90,pedestrianCrossing,Camel,slow
videoplayback_002_2.webm,92,signalAhead,Camel,turnRight
videoplayback_002_2.webm,93,signalAhead,Camel,slow
videoplayback_002_2.webm,94,signalAhead,Camel,slow
videoplayback_002_2.webm,95,merge,Camel,slow
videoplayback_002_2.webm,96,merge,Camel,slow
videoplayback_002_2.webm,97,signalAhead,Camel,slow
videoplayback_002_2.webm,98,merge,Camel,slow
videoplayback_002_2.webm,99,merge,Camel,slow
videoplayback_002_2.webm,100,signalAhead,Camel,slow
videoplayback_002_2.webm,101,merge,Camel,slow
